g4        	1   	t1  	j1  	t
g4        	1   	j2  	c   	j
g4        	2   	t1  	j2  	t
g4        	2   	c   	j1  	c
g4        	3   	t2  	j2  	t
g4        	3   	y   	j1  	y
g4        	4   	j2  	t1  	j
g4        	4   	j1  	c   	j
g4        	4   	y   	t2  	y
g4        	5   	t1  	y   	t
g4        	5   	c   	t2  	c
g4        	6   	c   	j2  	c
g4        	6   	j1  	t1  	j
g4        	6   	t2  	y   	t
g4        	7   	t2  	j1  	t
g4        	7   	y   	j2  	y
g4        	8   	j1  	y   	j
g4        	8   	j2  	t2  	j
g4        	8   	t1  	c   	t
g4        	9   	t2  	c   	t
g4        	9   	y   	t1  	y
g4        	10  	j1  	t2  	j
g4        	10  	j2  	y   	j
g4        	10  	c   	t1  	c
g56       	1   	t1  	a1  	t
g56       	1   	t2  	c   	t
g56       	1   	t3  	j1  	t
g56       	1   	a2  	j2  	a
g56       	2   	t1  	j2  	t
g56       	2   	t2  	j1  	t
g56       	2   	t3  	c   	t
g56       	2   	a2  	y   	a
g56       	3   	j1  	t1  	j
g56       	3   	a2  	t3  	a
g56       	3   	c   	j2  	c
g56       	3   	y   	a1  	y
g56       	4   	t1  	a2  	t
g56       	4   	j2  	y   	j
g56       	4   	a1  	j1  	a
g56       	5   	t2  	a2  	t
g56       	5   	t3  	y   	t
g56       	6   	a2  	j1  	a
g56       	6   	c   	t1  	c
g56       	6   	j2  	t2  	j
g56       	6   	a1  	t3  	a
g56       	7   	j1  	t2  	j
g56       	7   	y   	a2  	y
g56       	7   	t1  	c   	t
g56       	7   	a1  	j2  	a
g56       	8   	j1  	y   	j
g56       	8   	j2  	t1  	j
g56       	8   	t2  	a1  	t
g56       	8   	c   	t3  	c
g56       	9   	c   	t2  	c
g56       	9   	y   	t1  	y
g56       	9   	t3  	a1  	t
g56       	10  	j1  	a2  	j
g56       	10  	j2  	t3  	j
g56       	10  	y   	c   	y
g56       	10  	a1  	t2  	a
g789      	1   	t1  	j   	t
g789      	1   	t2  	a   	t
g789      	1   	c   	y   	c
g789      	2   	t1  	c   	t
g789      	2   	t2  	j   	t
g789      	2   	y   	a   	y
g789      	3   	c   	j   	c
g789      	3   	t1  	y   	t
g789      	3   	a   	t2  	a
g789      	4   	t2  	c   	t
g789      	4   	j   	y   	j
g789      	4   	a   	t1  	a
g789      	5   	c   	a   	c
g789      	6   	y   	t1  	y
g789      	6   	j   	t2  	j
g789      	6   	a   	c   	a
g789      	7   	c   	t2  	c
g789      	7   	a   	j   	a
g789      	8   	j   	t1  	j
g789      	8   	t2  	y   	t
g789      	9   	y   	t2  	y
g789      	9   	t1  	a   	t
g789      	10  	j   	c   	j
g789      	10  	y   	t1  	y
b45       	1   	t1  	y2  	t
b45       	1   	j1  	c1  	j
b45       	1   	a3  	j3  	a
b45       	1   	a1  	c2  	a
b45       	1   	y1  	j2  	y
b45       	1   	j4  	c3  	j
b45       	2   	a2  	t2  	a
b45       	2   	t1  	y1  	t
b45       	2   	a3  	j1  	a
b45       	2   	c2  	j3  	c
